season,sheet,row,name,club,liga,tm_id,cambios,cont_old,cont_new,cont_cambia,excel_club,gk,antes,ahora
2026-27,MEDIOCENTROS,2301,Javi Villar,Albacete,LaLiga2,689639,"LIGA PJ, LIGA Min",—,,False,Albacete,False,3/188/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,4/233/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,2662,Tahith Chong,Sheff Utd,Championship,344830,"SEL PJ, SEL Min, SEL G/GC",—,,False,Sheff Utd,False,2/40/0/0 | 1/29/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,2/40/0/0 | 1/29/0/0 | 0/0/0/0 | 0/0/0/0 | 1/33/1/0
2026-27,DEFENSAS,36,Bendegúz Bolla,Rapid Viena,Bundesliga Austria,439351,"SEL PJ, SEL Min",UECL,UECL,False,Rapid Viena,False,7/630/1/1 | 1/90/0/1 | 5/468/1/3 | 0/0/0/0 | 0/0/0/0,7/630/1/1 | 1/90/0/1 | 5/468/1/3 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,135,Hannes Delcroix,FC Lugano,Super League,338635,"SEL PJ, SEL Min",UECL,UECL,False,FC Lugano,False,7/457/3/1 | 1/45/0/0 | 3/270/0/0 | 0/0/0/0 | 0/0/0/0,7/457/3/1 | 1/45/0/0 | 3/270/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,215,Andrejs Ciganiks,FC Lucerna,Super League,202659,"SEL PJ, SEL Min",—,,False,FC Lucerna,False,9/660/3/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,9/660/3/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,719,Issa Kaboré,Wrexham,Championship,649452,"SEL PJ, SEL Min",—,,False,Wrexham,False,6/317/0/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/317/0/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,920,Ruairi McConville,Norwich,Championship,701021,"SEL PJ, SEL Min",—,,False,Norwich,False,7/560/1/0 | 2/109/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/560/1/0 | 2/109/0/0 | 0/0/0/0 | 0/0/0/0 | 1/18/0/0
2026-27,DEFENSAS,1021,Bruno Onyemaechi,Olympiacos ,Super League 1,701325,"SEL PJ, SEL Min",UCL,UCL,False,Olympiacos ,False,2/147/0/0 | 1/63/1/0 | 3/255/0/0 | 0/0/0/0 | 0/0/0/0,2/147/0/0 | 1/63/1/0 | 3/255/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,1104,Guilherme Romão,Atlético Clube Goianiense,Campeonato Brasileiro Série B,139607,"LIGA PJ, LIGA Min, LIGA G/GC, LIGA A/CS, COPA PJ, COPA Min, COPA G/GC, COPA A/CS",—,,False,Atlético Clube Goianiense,False,0/0/0/0 | 5/266/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,18/941/3/3 | 14/1107/5/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DEFENSAS,1138,Jacob Italiano,Grazer AK 1902,Bundesliga Austria,545810,"SEL PJ, SEL Min",—,,False,Grazer AK 1902,False,2/94/1/0 | 1/45/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,2/94/1/0 | 1/45/0/0 | 0/0/0/0 | 0/0/0/0 | 1/84/0/0
